_id,Station,EMS Events,Fire Events,Total Events,EMS Responses,Fire Responses,Total Responses
1,0,2,4,6,2,7,9
2,2,1688,996,2684,3312,1935,5247
3,3,2839,1531,4370,5786,2951,8737
4,4,3051,577,3628,5588,1770,7358
5,5,2221,397,2618,4389,1111,5500
6,6,1743,652,2395,3316,1500,4816
7,7,4341,576,4917,8731,1665,10396
8,8,5246,1597,6843,9835,3953,13788
9,9,3336,423,3759,6627,1071,7698
10,10,3627,626,4253,5916,2050,7966
11,11,1396,435,1831,2791,879,3670
12,12,2127,316,2443,4396,968,5364
13,13,2424,514,2938,4737,1261,5998
14,15,2614,495,3109,5290,1292,6582
15,16,2929,1026,3955,5778,2252,8030
16,17,2153,269,2422,4102,768,4870
17,18,1982,266,2248,3928,709,4637
18,19,3608,389,3997,7042,1175,8217
19,20,1496,221,1717,3296,534,3830
20,21,2094,432,2526,4215,885,5100
21,22,960,104,1064,2081,386,2467
22,23,2588,401,2989,5110,1110,6220
23,24,1537,208,1745,2793,471,3264
24,25,4645,527,5172,8972,1600,10572
25,26,3184,439,3623,6705,1047,7752
26,27,2251,328,2579,4396,922,5318
27,28,4656,1343,5999,9044,3671,12715
28,29,2869,417,3286,5220,936,6156
29,30,2300,371,2671,4703,862,5565
30,31,3965,591,4556,8010,1475,9485
31,32,2748,344,3092,5062,999,6061
32,33,4011,1838,5849,8244,3569,11813
33,34,4131,526,4657,8045,1592,9637
34,35,5911,475,6386,11592,1587,13179
35,36,2942,474,3416,6040,1677,7717
36,37,1002,327,1329,2061,660,2721
37,38,2230,558,2788,4531,1015,5546
38,39,3690,533,4223,7677,1607,9284
39,40,2864,367,3231,5934,967,6901
40,41,1005,234,1239,2037,496,2533
41,42,640,126,766,1350,399,1749
42,43,3003,310,3313,5516,839,6355
43,44,2215,321,2536,3698,799,4497
44,45,684,236,920,1375,468,1843
45,46,5426,661,6087,10775,1915,12690
46,47,2204,379,2583,4015,925,4940
47,48,2798,615,3413,5348,1299,6647
48,49,2309,657,2966,4039,1288,5327
49,50,2992,641,3633,5352,1449,6801
50,51,5232,1000,6232,10073,2713,12786
51,52,2665,436,3101,5062,1355,6417
52,53,646,138,784,1168,339,1507
53,54,124,43,167,261,73,334
54,55,6229,637,6866,11115,1773,12888
55,56,3856,484,4340,6854,1183,8037
56,57,1662,582,2244,3024,1325,4349
57,58,4191,721,4912,7234,1804,9038
58,59,2858,423,3281,4983,974,5957
59,60,3958,839,4797,7384,2611,9995
60,61,1347,313,1660,2630,783,3413
61,62,1604,484,2088,3294,936,4230
62,63,1553,335,1888,3337,1943,5280
63,64,1418,318,1736,2838,676,3514
64,65,337,116,453,509,316,825
65,66,1258,321,1579,2561,649,3210
66,67,5612,784,6396,9887,2455,12342
67,68,3839,792,4631,7384,2205,9589
68,69,1468,514,1982,2902,1116,4018
69,70,1859,367,2226,3238,728,3966
70,71,1087,319,1406,1611,652,2263
71,72,787,377,1164,1099,1012,2111
72,73,6034,878,6912,11340,2753,14093
73,74,5946,964,6910,10355,2731,13086
74,75,2274,516,2790,3533,1242,4775
75,76,3659,552,4211,6826,1735,8561
76,77,2195,514,2709,4374,1238,5612
77,78,1260,494,1754,1944,950,2894
78,80,2668,401,3069,4471,1271,5742
79,81,111,65,176,198,114,312
80,82,4630,764,5394,9218,2285,11503
81,83,2495,623,3118,4667,1621,6288
82,86,1457,495,1952,2166,844,3010
83,90,838,365,1203,1612,566,2178
84,92,1421,158,1579,3169,809,3978
85,93,735,147,882,1380,322,1702
86,94,1120,264,1384,1804,542,2346
87,96,1374,413,1787,2117,758,2875
88,99,14,11,25,41,21,62
89,101,1576,384,1960,2393,704,3097
90,102,1233,356,1589,1845,678,2523
91,103,225,99,324,390,195,585
92,104,230,65,295,447,150,597
93,105,283,107,390,448,211,659
94,301,230,87,317,445,278,723
